,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
439,15.69588898619391,0.22549362519942462,0.8858666077142736,0.5441859728732317,0.5211401159817762,0.9147516332773009,0.2997895344511897,0.2284663383682367,0.9007714754413333,0.5781472100180242,0.34642988886135095
379,19.170283944216855,0.9441386629890242,0.670582745513125,0.9188093803812057,0.23927181823444976,0.8262801663509588,0.009269252437978492,0.7938537210403908,0.30454867174927835,0.774299188360838,0.8550956257758252
61,16.736019629160563,0.33425551201000747,0.1725157204148826,0.010850559684715044,0.707675575123599,0.6144469082663024,0.7960101495856653,0.8422991316704923,0.7577750875405107,0.20535595967871,0.9456006243153812
281,21.38687205137233,0.37424931518105686,0.7119406379964915,0.026918679657277456,0.7986325247077842,0.29953544317559466,0.8400447252178208,0.12828439206370112,0.47068274752967887,0.2012503379406494,0.6795075720785481
212,19.328050376745363,0.5114046058882135,0.5325576293444497,0.26715871828614446,0.8220196596760262,0.49475475968817717,0.25683883326556456,0.7685223871982844,0.02417552562103975,0.7604804807683747,0.840113136723874
38,11.407273655325284,0.06139186217762638,0.37588688944563553,0.5948154752905769,0.6835476619727318,0.7335332117035364,0.8915427461196491,0.965806414133491,0.7146577521324937,0.7865137620057157,0.20023145983250368
330,7.664102650578459,0.024301837672806803,0.6684910889985924,0.6329018126442874,0.6647880440869492,0.03056330607072355,0.7340106485256435,0.057428137531627566,0.6437050194662706,0.1484947584020272,0.37606137740330303
324,14.150705442094448,0.8024856570778138,0.8217067705244112,0.28021509784916954,0.4222617584766094,0.0379933689658849,0.8451625522492789,0.9041540109802434,0.4697635503139529,0.5852276686648423,0.5978729483295324
275,10.327927282412928,0.3663989030820213,0.8354778334443226,0.49308960662667456,0.13324692357243295,0.1585714976106123,0.26446099799120604,0.5166963580221366,0.3071769349753456,0.5600877193369103,0.7382863492481523
50,11.716736346210165,0.7563578815210855,0.6487708423430496,0.2514853727451384,0.018130550145121105,0.06090111094674988,0.9764969826711151,0.8076598931424724,0.4935019329690187,0.0716153980954003,0.31034724303180594
161,22.140870390388564,0.6820657046885502,0.40120554058415525,0.21241011443125657,0.9289516649128917,0.72415551056548,0.07728614784876853,0.341985205222895,0.12720598548507145,0.2631013096266026,0.2039052649944768
552,14.060203011837547,0.2529120650511978,0.5230627308562517,0.17047068052305558,0.3192645400105075,0.9316794778254028,0.4547158021062586,0.5576310061757758,0.20757662389296316,0.4125268120551697,0.7453668186127398
238,15.088911004389384,0.02577458835263513,0.2847403605137425,0.1820499164607623,0.9378387076999015,0.6916271394120425,0.6915571086712834,0.7363605259497706,0.11081340453388255,0.25348309858150286,0.7746047211093964
542,13.017278124849668,0.22522183620807124,0.5525542876480282,0.31575498567945304,0.5393690619293705,0.6267753097631703,0.4822257954320449,0.6065070766532746,0.6437265455754789,0.15431942494122852,0.6322465009467196
