,y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
207,10.275649491413114,0.2790215889799541,0.7882170214432638,0.14100879049495663,0.07547034434330735,0.11418349888185397,0.9474953855234756,0.1499325935228889,0.15862335853297505,0.3425509123424416,0.8652258254712535
129,13.301332752486848,0.13719057747593677,0.459705018814347,0.8169546776102826,0.4953471925665107,0.8740557456281102,0.2021835703822238,0.6222423823925759,0.8766139346499539,0.11864701064847105,0.5164293380899286
225,15.120133492116219,0.9518151316898286,0.10312185585591993,0.14366724441719558,0.62297560376305,0.6631971081447965,0.05232346425905021,0.22211019551068933,0.24478134124219564,0.5365008493639495,0.63976590020602
85,5.7063804019124476,0.07985569775475598,0.3156569516061092,0.42407313805040103,0.21474981931720316,0.5305020817762368,0.17281067575234899,0.3763248427710929,0.42576666124150087,0.609313806920929,0.02172966911901042
382,16.516532529266083,0.8590560201564635,0.4090564337165612,0.5760679670947613,0.5150396105859839,0.4640858695856964,0.03747022789231036,0.9643507247738197,0.40100727369144507,0.1407318354891931,0.4954377190974918
363,9.946562689037355,0.24724404900048558,0.6049628323009819,0.2401502388105734,0.21494829520147496,0.38373609208791293,0.41395254906265166,0.2343785061385164,0.3778695000277056,0.9408014036950197,0.34925658407032845
441,15.993090315831708,0.8980193665426099,0.6802632472560916,0.32143831034184966,0.13363033561763893,0.9239594118393791,0.22200878245319167,0.276717279320857,0.9146322585617374,0.13161777922014006,0.9042525797703385
32,11.631779776217236,0.4140365326508061,0.228542076858398,0.7125666233140326,0.3957341597097557,0.7683225371384412,0.7099165772083835,0.04228513328186689,0.04183993598480806,0.41259876086218805,0.7217854607715718
111,11.58539803719286,0.13489205071145305,0.5819662004912758,0.9991267472200663,0.2839634765944544,0.2643810820524246,0.9790776207602434,0.6890627742529412,0.5494546726798902,0.7027415980387923,0.7485863652621388
577,4.588091959427014,0.9398637090631791,0.10326123152419986,0.6559438715208477,0.047723252153236584,0.12450953876760595,0.4104269465415966,0.27200826704673364,0.5726330663284911,0.08386045939333464,0.9797840931566535
124,24.17930608345275,0.7016403837762353,0.8762627164159338,0.9502030524459224,0.7341009221405856,0.6856435876219532,0.9375819854650017,0.5222125981379315,0.47054783713297,0.5392308243395252,0.6215989993120342
320,11.406951245449964,0.42701886825113955,0.09448890292657341,0.18353073745179582,0.746911764844915,0.1341165259973911,0.06585873207132376,0.5539958795334379,0.9602083842842948,0.2569877567409965,0.027354642906039395
434,9.746994364858347,0.14222386704824752,0.6979403207204062,0.15214720376833668,0.06783055351258205,0.7160986101128312,0.8061471642213829,0.7624765093512885,0.1328725248886472,0.3600733119537092,0.8982228331631299
