,MEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
332,0.32,0.00031853476704700456,0.35000000000000003,0.20527859237536653,0.0,0.10884773662551442,0.4732707415213644,0.21009268795056646,0.5011503241822696,0.0,0.22328244274809153,0.457446808510638,0.9126279691361139,0.16832229580573954
469,0.3355555555555556,0.14688993623459984,0.0,0.6466275659824047,0.0,0.4012345679012346,0.4123395286453344,0.5540679711637487,0.1540525057061536,1.0,0.91412213740458,0.8085106382978724,1.0,0.35954746136865345
352,0.3022222222222223,0.000743172858050388,0.6,0.04508797653958941,0.0,0.053497942386831254,0.44510442613527523,0.16065911431513902,0.8712182524165903,0.13043478260869565,0.42748091603053434,0.6063829787234043,0.9884764738514298,0.16721854304635764
57,0.5911111111111111,8.991807114946959e-05,1.0,0.03152492668621699,0.0,0.053497942386831254,0.6236826978348344,0.3872296601441813,0.6542934827087634,0.1739130434782609,0.13167938931297704,0.26595744680851063,0.9899137626708358,0.06125827814569537
50,0.32666666666666666,0.0009262685304285007,0.21000000000000002,0.18988269794721407,0.0,0.11111111111111108,0.46024142556045233,0.44078269824922767,0.5169729651083488,0.13043478260869565,0.10687022900763352,0.44680851063829796,0.9966211104947301,0.3233995584988963
483,0.37333333333333335,0.03160687639457309,0.0,0.6466275659824047,0.0,0.3024691358024693,0.42172830044069753,0.38516992790937177,0.2699578972255818,1.0,0.91412213740458,0.8085106382978724,0.9899641938574816,0.23979028697571747
408,0.27111111111111114,0.0831469031991501,0.0,0.6466275659824047,0.0,0.43621399176954734,0.3939452002299293,0.9783728115345005,0.029562876810737604,1.0,0.91412213740458,0.8085106382978724,0.7925765293257351,0.6807395143487859
198,0.6577777777777778,0.0003524788389059341,0.8000000000000002,0.038856304985337216,0.0,0.039094650205761305,0.7114389729833304,0.364572605561277,0.5619219961989289,0.04347826086956519,0.27099236641221375,0.0,0.988148671138232,0.1349337748344371
282,0.9111111111111112,0.0006178495463858083,0.20000000000000004,0.10520527859237536,1.0,0.11913580246913583,0.7825253880053652,0.4819773429454171,0.37122279915248846,0.1739130434782609,0.05534351145038159,0.24468085106382986,0.9499974784406678,0.035320088300220764
199,0.6644444444444444,0.00028301712894296394,0.9500000000000002,0.03702346041055716,0.0,0.03703703703703709,0.6541483042728493,0.12770339855818746,0.5932399130664098,0.08695652173913043,0.41030534351145037,0.46808510638297873,1.0,0.0780905077262693
336,0.32222222222222224,0.00031415126107846997,0.0,0.17338709677419353,0.0,0.26748971193415655,0.4422303123203679,0.446961894953656,0.37296874573743505,0.1739130434782609,0.0706106870229007,0.8085106382978724,1.0,0.22268211920529807
105,0.32222222222222224,0.0014195815482722918,0.0,0.2969208211143695,0.0,0.27777777777777785,0.43878137574247944,0.9660144181256437,0.08887049986814466,0.1739130434782609,0.37595419847328243,0.8829787234042552,0.9928135559029706,0.40673289183222966
222,0.5,0.006937628779537526,0.0,0.2104105571847507,1.0,0.25102880658436216,0.635753975857444,0.7703398558187435,0.1948276332420955,0.30434782608695654,0.22900763358778622,0.5106382978723403,0.9835846487467851,0.22626931567328923
130,0.3155555555555556,0.0037511571331781055,0.0,0.7855571847507332,0.0,0.4917695473251029,0.5550871814523857,0.9886714727085479,0.08992534259654994,0.13043478260869565,0.4770992366412213,0.9148936170212765,0.9953098996419387,0.29994481236203097
19,0.29333333333333333,0.008086781728827777,0.0,0.281524926686217,0.0,0.3148148148148148,0.41502203487258105,0.685890834191555,0.24251379934345135,0.13043478260869565,0.22900763358778622,0.8936170212765959,0.9849967219728681,0.2635209713024283
