,MEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
10,0.22222222222222227,0.0024566741013925184,0.125,0.27162756598240473,0.0,0.2860082304526749,0.5395669668518874,0.94129763130793,0.4744155171002738,0.1739130434782609,0.2366412213740458,0.2765957446808509,0.9889555701245651,0.5165562913907286
452,0.2466666666666667,0.0571412482516555,0.0,0.6466275659824047,0.0,0.6748971193415638,0.5242383598390497,0.9155509783728115,0.11263174167265322,1.0,0.91412213740458,0.8085106382978724,0.9702203842856423,0.42880794701986763
490,0.06888888888888887,0.0022607651038756074,0.0,1.0,0.0,0.4609053497942388,0.29354282429584216,0.9794026776519054,0.06301775955041877,0.13043478260869565,1.0,0.7978723404255321,0.8021332391951184,0.7712472406181017
405,0.0,0.7633423805899254,0.0,0.6466275659824047,0.0,0.6337448559670782,0.4065913010155202,1.0,0.026898489574334605,1.0,0.91412213740458,0.8085106382978724,0.9699177971657675,0.5863686534216336
383,0.16222222222222227,0.08976251288638357,0.0,0.6466275659824047,0.0,0.6481481481481481,0.3753592642268635,1.0,0.03669215869926978,1.0,0.91412213740458,0.8085106382978724,1.0,0.6299668874172185
161,1.0,0.016376778298453364,0.0,0.7008797653958944,0.0,0.4526748971193415,0.7526346043303317,0.9052523171987641,0.07650337822477243,0.1739130434782609,0.41221374045801523,0.22340425531914887,0.9433405618034194,0.0
451,0.22666666666666668,0.06108606643057179,0.0,0.6466275659824047,0.0,0.6748971193415638,0.5928338762214986,0.9814624098867148,0.11144959033909557,1.0,0.91412213740458,0.8085106382978724,0.895077916183368,0.44150110375275947
250,0.43111111111111106,0.0015059028965757823,0.22000000000000003,0.19794721407624635,0.0,0.09465020576131694,0.5606438014945394,0.10401647785787849,0.5698969709645446,0.26086956521739135,0.2729007633587786,0.6914893617021276,0.9984366332139796,0.11506622516556295
229,0.5888888888888889,0.004894465407843641,0.0,0.2104105571847507,0.0,0.2448559670781893,0.5730982946924699,0.19052523171987645,0.20419390919259067,0.30434782608695654,0.22900763358778622,0.5106382978723403,0.9582429774572596,0.056015452538631355
225,1.0,0.005851530877640836,0.0,0.2104105571847507,0.0,0.2448559670781893,0.9894615826786742,0.8249227600411946,0.16048159026634778,0.30434782608695654,0.22900763358778622,0.5106382978723403,0.962428765948863,0.08002207505518769
396,0.16666666666666669,0.06592939093544917,0.0,0.6466275659824047,0.0,0.6337448559670782,0.5449319793063807,0.9588053553038105,0.04975947767098007,1.0,0.91412213740458,0.8085106382978724,1.0,0.4867549668874173
287,0.40444444444444444,0.00036405579056642684,0.525,0.17815249266862165,0.0,0.04115226337448563,0.5073768921249282,0.29248197734294545,0.5626676608862498,0.21739130434782608,0.20229007633587784,0.4255319148936172,1.0,0.14928256070640178
